Description,year,total_pax
Boeing 737,1990,118427636.0
Airbus A320,1990,1013040.0
All Other AC,1990,327354531.0
Boeing 737,1991,124582177.0
Airbus A320,1991,3069473.0
All Other AC,1991,305301237.0
Boeing 737,1992,129322431.0
Airbus A320,1992,6352634.0
All Other AC,1992,316454728.0
Boeing 737,1993,139273446.0
Airbus A320,1993,8989030.0
All Other AC,1993,314046596.0
Boeing 737,1994,169766771.0
Airbus A320,1994,13438598.0
All Other AC,1994,334449786.0
Boeing 737,1995,179254163.0
Airbus A320,1995,14926262.0
All Other AC,1995,352320604.0
Boeing 737,1996,183451854.0
Airbus A320,1996,15309186.0
All Other AC,1996,363869595.0
Boeing 737,1997,185484385.0
Airbus A320,1997,18211416.0
All Other AC,1997,370084467.0
Boeing 737,1998,196392608.0
Airbus A320,1998,25752496.0
All Other AC,1998,374210542.0
Boeing 737,1999,208210005.0
Airbus A320,1999,38483536.0
All Other AC,1999,374963587.0
Boeing 737,2000,208210005.0
Airbus A320,2000,38483536.0
All Other AC,2000,374963587.0
Boeing 737,2001,200060192.0
Airbus A320,2001,49570478.0
All Other AC,2001,329722363.0
Boeing 737,2002,192226363.0
Airbus A320,2002,63742695.0
All Other AC,2002,315098884.0
Boeing 737,2003,192789035.0
Airbus A320,2003,71508861.0
All Other AC,2003,339044263.0
Boeing 737,2004,205408730.0
Airbus A320,2004,82167599.0
All Other AC,2004,362742372.0
Boeing 737,2005,204804079.0
Airbus A320,2005,94670360.0
All Other AC,2005,376400052.0
Boeing 737,2006,205808753.0
Airbus A320,2006,100514210.0
All Other AC,2006,369760924.0
Boeing 737,2007,216562719.0
Airbus A320,2007,103914373.0
All Other AC,2007,377186691.0
Boeing 737,2008,208561872.0
Airbus A320,2008,101078158.0
All Other AC,2008,359571055.0
Boeing 737,2009,192868747.0
Airbus A320,2009,98431415.0
All Other AC,2009,343075269.0
Boeing 737,2010,199959406.0
Airbus A320,2010,104444525.0
All Other AC,2010,341542773.0
Boeing 737,2011,210984243.0
Airbus A320,2011,111120667.0
All Other AC,2011,333796704.0
Boeing 737,2012,210536234.0
Airbus A320,2012,116952784.0
All Other AC,2012,329814753.0
Boeing 737,2013,213100335.0
Airbus A320,2013,125610503.0
All Other AC,2013,321048458.0
Boeing 737,2014,233548638.0
Airbus A320,2014,137603892.0
All Other AC,2014,304948331.0
Boeing 737,2015,263682748.0
Airbus A320,2015,152796675.0
All Other AC,2015,291043746.0
Boeing 737,2016,279473622.0
Airbus A320,2016,168876088.0
All Other AC,2016,282300438.0
Boeing 737,2017,297566106.0
Airbus A320,2017,183398754.0
All Other AC,2017,271373799.0
Boeing 737,2018,313787374.0
Airbus A320,2018,205794863.0
All Other AC,2018,268109994.0
Boeing 737,2019,321724626.0
Airbus A320,2019,233580288.0
All Other AC,2019,265504070.0
Boeing 737,2020,129980972.0
Airbus A320,2020,106309178.0
All Other AC,2020,103293353.0
Boeing 737,2021,245289392.0
Airbus A320,2021,188899391.0
All Other AC,2021,179149038.0
Boeing 737,2022,319677460.0
Airbus A320,2022,246555066.0
All Other AC,2022,193532429.0
